year,id,dem03,dem04,dem01,dem14_01,dem14_02,Q2,Q3,Q4,uni04_01,uni04_02,uni04_03,uni04_04,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,uni10,uni11,Q11,Q12,nk03_03,Q13,Q14,Q15,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_07,nk08_01,nk08_02,nk08_03,nk08_04,nk09_01,nk09_02,nk09_04,nk09_05,nk09_06,nk09_07,nk10,nk11,nkp02_01,nkp02_02,nkp01,nkp04,Q18,nkp05,nkp06,nkp07_01,nkp07_03,nkp07_05,nkp07_06,nkp07_08,nkp07_10,nkp09_01,nkp09_02,nkp09_03,nkp09_04,nkp09_05,int01,Q19_1,Q19_2,Q19_3,Q19_4,Q20,int04_01,int04_02,int04_03,int04_04,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,int11_01,int12_01,int12_03,int12_02,int12_04,int13,int14,sk02_01,sk02_02,sk02_03,sk02_04,sk02_05,sk02_08,sk03,sk05_08,sk05_09,sk05_01,sk05_03,sk05_05,sk05_10,sk05_06,sk05_11,sk09,sk10,sk01,nk12,sk13,sk07,Q27,sk18,sk17,sk19_1,sk19_2,sk19_3,sk20_01,sk20_02,sk21,dem08,dem05,dem07,dem06,dem09,dem10,dem11,dem12,dem13,wt
5,11,1,1,2,1,23,1,2,4,1,1,1,1,1,2,2,4,2,1,5,2,3,3,5,2,5,5,4,2,1,1,2,3,4,1,2,4,3,3,2,4,4,2,2,1,2,1,1,2,2,3,1,2,1,1, ,2,1,3,3,3,2,1,4,4,1,3,1,2,5,2,4,3,3,3,2,2,1,2,2,3,2,1,4,1,1,3,3,1,1,2,3,4,3,4,4,2,2,2,2,4,2,3,1,3,4,3,1,1,1,3,1,1,1,2,2,2,3,1,2,1,8,2,5,3,4,8,4,1,6,4,7,3,2,10,1,4,3,7,4,4,1,8,.966666666666667
5,12,1,1,1,2,37,5,3,6,3,3,3,2,3,3,2,1,1,3,1,4,4,5,5,5,5,5,5,3,3,1,2,2,3,3,3,4,4,4,4,4,3,2,2,2,2,1,1,1,2,2,1,2,2,4,3,3,3,2,4,5,5,3,1,2,3,1,1,1,2,2,3,2,4,4,4,4,2,2,2,3,2,1,4,2,1,2,2,3,1,2,3,2,3,3,3,3,1,1,1,1,1,2,1,4,4,4,4,4,2,2,2,3,1,1,2,3,3,1,4,1,9,2,5,2,4,1,3,1,5,3,3,3,4,3,2,4,98,7,4,4,4,1,.970588235294118
5,13,1,1,1,2,30,3,4,5,3,2,2,2,3,2,1,4,2,2,3,3,3,4,4,4,3,4,2,2,2,2,4,2,3,3,2,1,1,3,4,4,3,2,2,2,2,2,1,3,2,2,1,2,2,3, ,3,2,2,2,1,2,2,2,3,2,3,2,2,3,3,3,3,4,4,3,3,2,2,1,3,2,1,4,3,1,3,3,2,1,2,1,3,2,3,4,3,2,1,1,2,3,3,4,2,3,2,2,2,2,2,1,2,2,2,3,3,3,2,2,2,7,2,2,1,4,1,2,1,5,4,4,3,1,6,1,4,3,11,2,3,2,8,.970588235294118
5,14,1,1,2,2,39,4,2,3,2,2,2,2,2,1,1,3,2,1,4,3,4,4,2,2,4,4,5,2,1,2,2,3,2,3,1,3,2,2,4,4,3,2,2,1,2,1,1,1,1,2,1,1,1,3, ,3,3,2,3,2,3,3,2,4,1,2,2,3,3,2,3,2,4,4,3,2,1,3,2,3,1,1,4,3,1,3,2,1,1,2,3,4,3,3,3,3,1,1,1,1,1,1,2,1,2,4,2,2,2,1,2,3,2,1,2,4,3,2,3,2,7,2,1,2,4,1,2,1,5,2,3,3,2,2,2,4,3,12,3,3,1,1,.941176470588235
5,15,1,1,2,3,44,3,2,4,3,3,3,3,3,3,3,4,2,3,3,2,3,2,3,5,3,5,5,3,1,2,2,3,3,2,1,2,2,2,2,4,2,2,2,2,2,1,1,1,1,1,1,1,1,4,1,3,3,3,3,5,3,4,3,3,1,1,1,3,3,1,3,3,3,4,2,1,2,3,2,2,1,1,4,1,3,3,4,3,1,2,3,4,4,4,4,4,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,3,1,1,2,2,2,1,4,2,7,2,4,4,4,2,3,1,5,6,10,5,1,3,2,3,98,6,4,5,2,11,1
5,16,1,1,2,4,54,1,2,3,1,1,2,1,1,2,1,3,1,1,1,1,2,3,3,2,4,3,4,2,1,2,2,2,3,2,1,3,3,3,4,4,3,2,2,2,2,1,1,2,2,2,3,1,5,2, ,2,3,2,3,5,2,2,3,1,1,3,1,3,3,2,2,9,3,3,2,1,2,3,2,3,2,1,3,1,1,2,2,3,1,3,3,3,1,3,2,2,1,1,2,2,2,3,2,2,2,2,1,1,2,1,1,2,1,1,1,2,3,1,3,1,8,2,3,3,3,8,2,1,3,6,5,5,1,2,2,4,3,2,5,6,5,1,1
5,17,1,1,1,1,19,3,2,4,4,4,1,1,1,1,1,4,2,1,1,2,3,5,5,1,4,3,1,2,1,1,5,3,3,3,1,4,4,4,4,4,4,1,2,2,2,1,1,3,2,3,1,1,2,3, ,3,4,4,4,4,1,1,2,4,1,2,1,2,2,3,1,3,2,4,4,2,1,1,1,4,2,1,2,1,2,4,4,4,1,2,3,4,2,3,4,2,3,2,4,4,4,1,4,1,1,1,1,1,1,2,1,2,1,1,1,3,3,1,4,2,3,3,5,4,1,8,4,5,6,3,8,8,4,10,1,4,3,6,3,4,1,1,1.03571428571429
5,18,1,1,2,1,26,3,2,5,2,2,2,2,1,1,1,3,1,1,5,2,3,3,4,2,3,5,5,2,1,1,2,3,3,2,1,4,4,4,4,4,4,2,2,2,2,1,1,2,2,1,1,1,1,2, ,1,2,2,3,2,2,1,4,2,1,3,3,3,3,3,3,3,4,5,3,2,1,2,2,4,2,1,4,1,1,1,2,1,3,3,3,3,2,3,2,2,1,1,1,1,1,1,2,2,2,5,1,5,1,2,1,3,1,2,1,3,3,1,4,2,8,2,3,2,4,8,2,1,3,6,5,1,2,6,1,4,3,8,3,4,1,1,.966666666666667
5,19,1,1,2,2,30,2,1,5,1,2,1,2,2,2,2,3,4,3,5,2,4,2,4,5,5,5,5,3,1,1,5,3,1,3,1,4,3,2,2,4,4,2,2,2,2,1,1,1,1,1,1,1,1,4,5,4,1,3,3,4,1,1,1,1,1,1,1,3,3,1,2,3,2,3,4,3,2,2,2,1,4,1,4,1,3,3,3,3,1,2,1,2,3,3,3,3,2,2,2,2,2,1,1,5,5,5,5,5,2,2,1,1,1,1,2,2,1,1,3,1,7,1,3,3,4,8,2,1, , ,5,5,1,3,2,3,1,8,4,5,2,4,.941176470588235
5,20,1,1,1,2,35,2,2,3,2,2,1,3,2,1,2,4,1,1,3,2,2,4,4,2,4,4,2,3,1,1,2,2,3,4,2,1,2,2,2,3,3,2,1,1,2,1,1,1,2,2,1,2,2,3, ,2,2,3,3,2,2,2,4,3,2,4,1,2,3,2,4,2,4,4,4,4,1,2,2,3,3,1,4,3,1,1,2,1,1,2,4,4,2,3,3,3,2,1,1,3,3,3,2,2,3,4,2,1,2,2,2,3,2,1,2,3,3,2,2,2,6,2,2,1,2,8,3,1,2,6,6,3,1,12,1,4,98,7,3,4,2,14,.970588235294118
5,21,1,1,1,2,39,2,2,2,3,3,2,2,3,1,1,3,2,1,1,3,4,3,5,4,3,3,4,3,3,1,5,4,4,2,2,1,1,2,2,3,1,2,2,2,2,1,1,1,2,2,1,1,1,4,1,4,2,2,4,3,2,3,1,3,1,2,2,3,3,3,4,2,4,4,4,4,1,3,3,3,2,1,4,3,2,3,2,2,1,2,1,1,1,3,3,4,1,1,1,2,2,1,1,2,3,3,2,2,3,1,1,2,2,1,3,3,3,1,1,1,7,2,3,3,2,8,3,1,4,6,5,5,1,4,2,3,98,4,4,4,3,14,.970588235294118
5,22,1,1,1,3,47,3,2,2,2,2,3,2,2,2,3,3,3,2,1,3,2,3,4,2,4,4,4,3,3,1,5,4,1,4,1,1,2,3,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1, ,3,1,4,4,1,1,1,4,5,1,5,1,3,3,1,5,2,5,5,2,5,1,1,3,4,1,1,2,3,1,1,3,1,1,3,3,3,1,2,4,2,1,1,1,4,1,2,4,3,1,4,1,3,1,1,3,3,3,3,2,2,2,1,1,1,10,1,1,1,3,1,1,5,1,2,1,10,1,2,2,4,3,9,4,5,1,13,.967741935483871
5,23,1,1,2,3,46,1,1,4,2,1,2,1,1,1,1,2,1,1,3,2,2,5,5,4,3,4,3,2,1,2,2,2,3,3,1,4,2,1,4,4,2,2,2,1,2,1,1,1,1,1,1,1,1,3, ,2,1,3,3,1,3,2,2,3,2,4,1,2,3,2,3,3,2,3,3,1,1,1,1,3,3,1,3,1,1,3,3,3,1,2,3,3,2,3,2,2,1,1,1,1,1,1,2,2,3,3,2,2,2,2,1,2,2,1,2,2,2,1,3,1,6,2,3,2,2,8,4,1,2,5,2,2,1,9,2,4,3,9,3,3,1,1,1
5,24,1,1,2,3,44,3,2,3,3,2,1,2,2,2,1,3,2,2,1,3,3,3,2,2,3,3,3,3,2,2,2,2,3,2,2,3,2,3,2,3,3,2,1,2,2,1,1,1,3,2,1,1,1,3, ,2,1,2,2,2,2,1,1,1,2,2,1,3,2,3,2,3,4,4,2,1,2,3,3,3,2,3,4,1,1,3,3,2,1,2,3,3,2,2,2,2,1,1,2,2,2,3,2,2,2,2,1,2,2,2,1,2,1,1,2,3,3,1,4,2,7,2,3,3,2,1,2,1,4,7,4,6,5,5,2,3,3,10,3,4,1,1,1
5,25,1,1,2,4,50,1,2,4,2,2,3,2,3,1,2,4,2,1,1,3,4,5,4,2,5,5,5,1,1,1,5,4,4,2,1,4,1,1,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,3, ,2,2,4,4,1,3,3,3,3,2,1,1,2,1,1,1,3,3,4,3,2,1,2,2,3,2,1,3,4,3,3,2,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,1,2,3,4,1,1,1,2,1,2,2,1,1,2,2,1,4,2,3,1,3,3,3,8,4,1,2,4,4,3,4,6,2,4,3,10,3,4,1,1,1
5,26,1,1,1,4,56,1,2,5,2,2,3,2,2,1,1,4,1,1,1,4,2,3,2,2,5,5,5,3,3,2,2,3,2,2,1,4,3,2,4,2,3,2,2,2,2,1,1,1,1,1,1,1,1,3, ,3,2,4,4,5,2,2,3,2,2,3,1,3,1,1,3,3,2,1,1,1,2,3,2,3,1,3,1,1,3,3,4,3,1,2,3,3,3,3,3,3,2,2,2,2,2,3,2,1,3,3,3,1,1,2,1,3,1,1,1,2,2,1,3,2,5,3,3,2,4,1,3,5,4,3,5,5,5,6,2,3,3,7,3,3,2,1,1
5,27,1,1,1,4,65,1,2,2,1,2,1,1,1,2,1,2,3,3,1,1,2,3,3,1,4,4,4,3,3,2,1,2,3,2,4,2,2,2,2,2,3,2,1,1,2,1,1,2,2,2,2,3,1,2, ,2,1,3,3,2,1,1,2,1,1,3,1,4,3,2,3,2,4,4,3,3,1,2,2,3,2,1,3,1,1,1,1,1,1,2,1,3,2,3,2,3,1,1,1,1,1,1,3,1,1,2,4,3,1,1,1,3,3,2,2,3,3,1,3,2,5,4,2,1,4,1,3,3, , ,6,6,1,12,2,4,3,2,4,4,5,1,1
5,28,1,1,1,3,41,3,2,4,2,2,1,1,1,1,1,3,2,1,1,1,1,2,1,2,1,3,2,2,2,1,2,2,3,3,2,3,2,2,2,4,2,2,2,2,2,1,1,1,1,1,1,2,2,3, ,2,2,2,2,2,2,1,3,3,3,2,3,3,3,4,4,3,3,3,1,2,1,2,2,3,2,1,4,1,1,1,1,1,1,2,1,3,2,3,3,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,7,2,3,1,1,8,2,1,6, ,1,1,5,4,2,4,3,5,3,3,1,1,.967741935483871
5,29,1,1,1,4,56,2,2,4,2,1,2,1,2,1,2,4,1,1,4,2,3,3,3,2,4,4,4,3,3,3,2,3,4,3,2,2,2,2,2,2,2,2,1,1,2,1,1,3,3,3,1,2,1,3, ,3,2,1,2,2,2,2,2,4,4,3,1,3,3,3,3,2,4,4,4,4,1,2,2,3,3,1,4,3,1,3,3,3,1,3,4,3,2,4,4,4,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,3,2,2,2,2,2,2,2,1,5,2,1,2,3,1,1,1, , ,10,10,2,7,2,4,3,10,3,3,2,14,1
5,30,1,1,1,1,22,1,2,5,3,2,2,1,1,1,1,4,1,1,5,1,3,3,3,3,5,5,5,3,2,1,2,3,3,3,2,2,3,4,4,4,4,2,2,2,2,1,2,2,2,2,2,1,4,4,3,4,2,2,3,5,5,1,2,2,3,4,1,5,2,2,3,2,4,5,5,5,1,3,3,3,2,1,3,1,1,1,2,2,1,1,1,2,3,3,4,4,1,1,1,1,1,2,2,5,5,5,5,5,2,5,1,3,1,1,2,4,4,1,2,1,8,2,4,3,4,8,3,1,5,3,6,1,1,12,1,3,98,9,3,4,1,1,1.03571428571429
5,31,1,1,2,2,39,1,2,4,2,2,2,2,2,2,2,4,3,2,3,2,2,4,4,4,4,3,3,3,1,2,2,3,3,3,1,4,4,4,4,4,4,2,2,2,2,1,1,2,2,3,1,1,1,4,3,3,2,2,2,5,3,1,4,4,2,3,1,4,4,2,4,2,4,4,4,4,2,2,2,3,2,3,2,1,1,1,2,2,1,2,3,2,3,3,3,3,1,1,1,2,2,3,2,5,5,5,5,5,5,2,2,4,1,1,2,4,4,2,3,2,9,2,3,3,4,8,2,1,3,2,2,2,5,2,1,3,98,7,4,4,1,1,.941176470588235
5,32,1,1,1,4,55,1,2,1,1,2,2,1,2,2,1,2,2,2,3,2,3,4,2,4,3,3,4,3,3,1,1,3,3,2,2,4,4,4,4,4,4,2,2,2,2,1,1,2,4,4,2,2,2,2, ,3,2,2,2,2,2,2,2,4,2,3,1,3,3,2,3,2,4,4,4,4,1,2,2,4,2,1,4,1,1,1,3,1,1,3,1,4,2,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,4,1,1,1,4,4,2,3,2,9,3,3,2,2,2,3,2,1,6,2,2,3,2,2,3,3,7,4,5,1,1,1
5,33,1,1,2,4,64,1,4,6,2,2,2,2,1,2,1,3,3,3,3,2,2,4,4,5,4,4,3,3,3,1,2,3,3,3,1,4,4,4,4,4,4,2,2,2,2,1,1,3,3,3,1,1,1,3, ,2,2,2,2,5,2,2,2,2,2,2,1,4,3,3,3,2,4,2,2,1,1,3,3,3,2,1,2,1,1,3,3,3,1,2,3,2,2,2,2,2,2,2,2,3,3,2,2,5,5,5,5,5,5,1,3,3,1,1,2,4,4,2,2,1,8,2,1,4,3,8,1,3,1,2,2,2,1,9,2,3,2,6,4,4,1,11,1
5,34,1,1,2,4,59,1,2,3,2,2,2,1,2,2,2,3,3,2,3,3,3,4,2,2,4,4,3,3,3,1,5,4,4,4,2,4,4,4,4,4,4,1,2,2,2,1,1,2,3,3,1,2,4,4,3,3,2,2,2,2,2,3,2,3,3,4,1,4,4,2,3,2,4,4,4,4,1,2,2,3,2,1,3,3,1,2,2,2,1,2,3,4,2,2,2,2,2,2,2,2,2,3,2,5,5,5,5,5,5,2,2,4,1,1,2,4,4,2,2,1,9,2,3,2,4,1,1,1,3,2,2,2,1,9,2,3,1,9,3,3,1,1,1
5,35,1,1,2,2,33,2,2,3,1,3,2,1,1,1,1,2,3,2,1,2,3,3,4,4,5,4,3,2,1,2,2,2,3,2,1,3,1,2,3,4,2,2,2,2,2,2,4,1,1,2,3,1,1,3, ,1,2,2,2,3,2,3,3,1,1,2,1,2,2,1,3,3,2,2,3,1,2,2,2,3,3,1,3,1,1,1,1,2,1,2,3,4,2,3,3,2,2,1,1,2,3,1,2,1,1,2,1,1,1,2,1,2,1,1,2,3,3,1,3,1,6,1,3,3,2,6,1,1,2,3,2,2,1,9,2,4,2,8,3,4,1,13,.941176470588235
5,36,1,1,2,3,47,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,1,4,4,4,3,3,3,2,2,2,3,3,2,2,2,3,3,3,2,2,2,2,1,1,1,1,1,1,2,2,3, ,2,2,2,2,2,2,1,4,3,1,2,1,4,2,3,3,3,4,4,4,3,1,2,1,4,2,4,4,1,1,1,1,1,1,2,3,3,3,3,3,3,1,1,1,1,1,3,2,4,4,4,4,4,2,2,1,3,1,1,1,3,2,1,3,1,5,4,3,3,4,8,3,1, , ,1,5,3,9,4,3,2,5,5,6,3,1,1
5,37,1,1,1,3,48,1,2,6,2,2,2,1,1,1,1,2,2,2,1,2,3,4,4,2,3,4,4,3,2,2,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,1,1,2,2,2,1,3,2,3, ,3,1,2,2,2,2,2,3,2,3,2,1,4,2,2,2,2,4,4,4,2,3,2,2,4,2,4,2,1,1,1,2,1,4,2,1,1,3,3,2,2,1,1,1,3,3,1,2,2,2,2,2,2,1,2,2,4,1,1,1,4,4,3,3,1,9,3,4,3,4,2,2,1,2,3,2,2,2,2,2,4,1,9,4,4,1,12,.967741935483871
5,38,1,1,1,2,37,2,2,6,2,2,2,2,2,2,2,3,3,2,3,3,3,4,4,2,3,4,3,3,3,2,2,2,3,3,2,4,4,4,4,4,4,2,2,2,2,1,1,3,3,3,2,2,1,4,3,2,3,3,3,5,2,2,2,2,2,2,1,2,2,2,2,2,4,4,4,4,3,2,2,3,2,1,4,4,1,1,1,1,1,2,1,4,3,3,3,3,2,2,2,2,2,3,2,5,5,5,5,5,5,2,2,3,2,2,3,3,3,3,3,2,8,2,4,3,3,8,2,1,3,5,3,3,1,2,2,4,98,9,4,4,1,1,.970588235294118
5,39,1,1,1,2,34,3,2,6,2,2,2,2,2,2,2,3,3,2,5,3,3,4,4,4,4,4,4,3,1,1,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,1,1,2,2,2,1,2,2,3, ,3,2,3,3,5,4,4,2,2,3,3,1,2,2,2,3,2,4,4,4,4,1,2,2,3,2,1,4,1,1,2,3,2,1,2,1,2,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,1,1,3,4,4,3,2,1,8,2,3,3,3,8,2,1,3,2,3,3,1,2,2,4,98,7,4,4,1,14,.970588235294118
5,40,1,1,1,3,47,2,2,3,2,2,2,2,2,2,2,3,3,3,5,2,3,4,4,4,4,4,4,3,2,2,1,3,2,3,2,2,2,2,2,4,2,1,2,2,2,1,1,2,2,3,2,3,2,3, ,2,2,2,3,2,2,2,2,4,2,3,1,2,2,2,2,2,4,4,4,4,2,2,2,3,2,1,3,1,1,2,2,2,1,2,1,3,3,3,3,3,1,2,2,2,2,1,2,5,5,5,2,5,2,2,2,3,2,1,2,4,4,2,3,1,8,3,3,3,3,8,3,5,1,2,3,3,1,2,2,3,1,6,4,4,1,8,.967741935483871
5,41,1,1,2,4,56,1,2,6,1,1,1,1,1,1,1,4,2,1,3,3,3,4,4,4,3,3,3,3,3,1,2,3,3,3,2,4,4,4,4,4,4,2,1,2,2,2,2,3,3,3,3,2,2,3, ,2,2,2,2,5,2,2,3,4,3,3,1,3,3,3,3,2,3,3,3,2,3,2,3,3,2,1,3,1,1,1,1,1,3,3,3,3,2,3,3,3,2,2,3,3,3,3,2,5,5,5,5,5,5,2,3,3,1,1,3,3,3,3,3,2,3,2,3,3,3,8,2,1,3,5,3,3,1,2,2,3,98,6,5,5,1,1,1
5,42,1,1,2,1,21,3,2,5,2,3,2,2,3,2,2,3,2,1,3,3,3,4,4,4,4,3,3,2,1,2,5,3,3,3,2,2,3,3,3,3,3,2,2,1,2,1,1,1,1,1,1,1,2,3, ,2,3,3,3,3,3,2,4,2,4,4,2,3,3,3,3,3,3,2,1,1,2,2,3,3,3,1,3,3,1,2,2,2,1,2,1,2,3,2,2,3,1,1,2,2,2,3,2,3,3,3,3,2,2,2,2,3,1,1,2,3,3,1,3,2,7,2,4,3,4,8,3,1,5,4,5,5,4,10,1,4,98,9,3,4,3,1,.966666666666667
